[10, 191, 163] [12, 117, 193] [13, 255, 255]
[27, 191, 163] [12, 117, 193] [30, 255, 255]
[37, 191, 163] [12, 117, 193] [72, 255, 255]
[90, 191, 163] [12, 117, 193] [122, 255, 255]
[135, 191, 163] [12, 117, 193] [150, 255, 255]
[0, 0, 76] [12, 117, 193] [179, 25, 190]
[0, 0, 191] [12, 117, 193] [179, 25, 255]
[10, 115, 127] [12, 117, 193] [15, 165, 255]
[0, 0, 0] [11, 114, 194] [179, 255, 51]
[5, 140, 76] [11, 114, 194] [9, 255, 191]
[0, 127, 127] [11, 114, 194] [5, 255, 255]
[10, 191, 163] [11, 114, 194] [13, 255, 255]
[27, 191, 163] [11, 114, 194] [30, 255, 255]
[37, 191, 163] [11, 114, 194] [72, 255, 255]
[90, 191, 163] [11, 114, 194] [122, 255, 255]
[135, 191, 163] [11, 114, 194] [150, 255, 255]
[0, 0, 76] [11, 114, 194] [179, 25, 190]
[0, 0, 191] [11, 114, 194] [179, 25, 255]
[10, 115, 127] [11, 114, 194] [15, 165, 255]
[0, 0, 0] [11, 110, 197] [179, 255, 51]
[5, 140, 76] [11, 110, 197] [9, 255, 191]
[0, 127, 127] [11, 110, 197] [5, 255, 255]
[10, 191, 163] [11, 110, 197] [13, 255, 255]
[27, 191, 163] [11, 110, 197] [30, 255, 255]
[37, 191, 163] [11, 110, 197] [72, 255, 255]
[90, 191, 163] [11, 110, 197] [122, 255, 255]
[135, 191, 163] [11, 110, 197] [150, 255, 255]
[0, 0, 76] [11, 110, 197] [179, 25, 190]
[0, 0, 191] [11, 110, 197] [179, 25, 255]
[10, 115, 127] [11, 110, 197] [15, 165, 255]
[0, 0, 0] [11, 108, 199] [179, 255, 51]
[5, 140, 76] [11, 108, 199] [9, 255, 191]
[0, 127, 127] [11, 108, 199] [5, 255, 255]
[10, 191, 163] [11, 108, 199] [13, 255, 255]
[27, 191, 163] [11, 108, 199] [30, 255, 255]
[37, 191, 163] [11, 108, 199] [72, 255, 255]
[90, 191, 163] [11, 108, 199] [122, 255, 255]
[135, 191, 163] [11, 108, 199] [150, 255, 255]
[0, 0, 76] [11, 108, 199] [179, 25, 190]
[0, 0, 191] [11, 108, 199] [179, 25, 255]
[10, 115, 127] [11, 108, 199] [15, 165, 255]
[0, 0, 0] [11, 105, 197] [179, 255, 51]
[5, 140, 76] [11, 105, 197] [9, 255, 191]
[0, 127, 127] [11, 105, 197] [5, 255, 255]
[10, 191, 163] [11, 105, 197] [13, 255, 255]
[27, 191, 163] [11, 105, 197] [30, 255, 255]
[37, 191, 163] [11, 105, 197] [72, 255, 255]
[90, 191, 163] [11, 105, 197] [122, 255, 255]
[135, 191, 163] [11, 105, 197] [150, 255, 255]
[0, 0, 76] [11, 105, 197] [179, 25, 190]
[0, 0, 191] [11, 105, 197] [179, 25, 255]
[10, 115, 127] [11, 105, 197] [15, 165, 255]
[0, 0, 0] [13, 104, 180] [179, 255, 51]
[5, 140, 76] [13, 104, 180] [9, 255, 191]
[0, 127, 127] [13, 104, 180] [5, 255, 255]
[10, 191, 163] [13, 104, 180] [13, 255, 255]
[27, 191, 163] [13, 104, 180] [30, 255, 255]
[37, 191, 163] [13, 104, 180] [72, 255, 255]
[90, 191, 163] [13, 104, 180] [122, 255, 255]
[135, 191, 163] [13, 104, 180] [150, 255, 255]
[0, 0, 76] [13, 104, 180] [179, 25, 190]
[0, 0, 191] [13, 104, 180] [179, 25, 255]
[10, 115, 127] [13, 104, 180] [15, 165, 255]
[0, 0, 0] [13, 115, 147] [179, 255, 51]
[5, 140, 76] [13, 115, 147] [9, 255, 191]
[0, 127, 127] [13, 115, 147] [5, 255, 255]
[10, 191, 163] [13, 115, 147] [13, 255, 255]
[27, 191, 163] [13, 115, 147] [30, 255, 255]
[37, 191, 163] [13, 115, 147] [72, 255, 255]
[90, 191, 163] [13, 115, 147] [122, 255, 255]
[135, 191, 163] [13, 115, 147] [150, 255, 255]
[0, 0, 76] [13, 115, 147] [179, 25, 190]
[0, 0, 191] [13, 115, 147] [179, 25, 255]
[10, 115, 127] [13, 115, 147] [15, 165, 255]
[0, 0, 0] [14, 132, 105] [179, 255, 51]
[5, 140, 76] [14, 132, 105] [9, 255, 191]
[0, 127, 127] [14, 132, 105] [5, 255, 255]
[10, 191, 163] [14, 132, 105] [13, 255, 255]
[27, 191, 163] [14, 132, 105] [30, 255, 255]
[37, 191, 163] [14, 132, 105] [72, 255, 255]
